EmployeeNumber,Satisfaction,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobInvolvement,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,StandardHours,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1568,1,30,Travel_Rarely,Sales,29,4,Technical Degree,Male,3,3,Sales Executive,9250,3,No,3,40.0,1,3,3,4,2,1,3
1644,1,48,Travel_Frequently,Research & Development,4,5,Medical,Male,2,4,Manager,15202,2,No,4,40.0,1,3,3,2,2,2,2
120,1,51,Travel_Rarely,Sales,21,4,Marketing,Male,3,2,Sales Executive,5441,0,Yes,4,40.0,0,2,1,10,7,1,0
2046,1,45,Travel_Rarely,Sales,20,3,Life Sciences,Female,3,2,Sales Executive,4850,8,No,3,40.0,0,3,3,5,3,0,1
1373,1,56,Travel_Rarely,Research & Development,23,3,Life Sciences,Male,3,4,Manufacturing Director,13402,4,Yes,3,40.0,1,0,3,19,16,15,9
1408,1,42,Travel_Rarely,Human Resources,10,3,Human Resources,Female,3,4,Manager,16799,0,No,3,40.0,1,5,3,20,7,0,9
312,1,29,Travel_Frequently,Sales,1,1,Medical,Female,3,3,Sales Executive,7918,1,No,3,40.0,1,5,3,11,10,4,1
1453,1,31,Travel_Rarely,Sales,8,2,Life Sciences,Male,3,3,Sales Executive,10793,1,No,3,40.0,1,5,3,13,7,9,9
569,1,50,Travel_Rarely,Research & Development,29,4,Life Sciences,Male,2,4,Manager,17046,0,No,3,40.0,1,2,3,27,10,15,7
983,1,38,Non-Travel,Sales,10,3,Technical Degree,Female,3,2,Sales Executive,5666,1,Yes,3,40.0,0,1,3,5,3,1,3
498,1,28,Travel_Rarely,Sales,9,4,Life Sciences,Male,3,2,Sales Executive,5253,1,No,3,40.0,0,1,3,7,5,0,7
1696,1,34,Travel_Rarely,Research & Development,5,2,Medical,Male,2,2,Laboratory Technician,3986,1,No,3,40.0,1,3,4,15,10,4,13
436,1,32,Travel_Rarely,Sales,8,2,Technical Degree,Female,2,2,Sales Executive,5228,1,Yes,3,40.0,0,2,3,13,12,11,9
1597,1,34,Travel_Frequently,Research & Development,10,4,Technical Degree,Male,2,2,Healthcare Representative,5063,1,No,3,40.0,1,3,2,8,2,7,7
1177,1,26,Travel_Rarely,Research & Development,3,4,Medical,Male,4,1,Laboratory Technician,4420,1,No,4,40.0,1,2,3,8,7,0,7
1534,0,40,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,3,1,Laboratory Technician,2018,3,No,3,40.0,0,3,1,5,4,1,0
1206,1,44,Non-Travel,Research & Development,17,3,Life Sciences,Male,1,1,Research Scientist,2290,2,No,3,40.0,0,3,3,0,0,0,0
614,0,18,Travel_Frequently,Sales,5,3,Marketing,Male,3,1,Sales Representative,1878,1,Yes,3,40.0,0,3,3,0,0,0,0
101,1,45,Travel_Rarely,Research & Development,6,4,Other,Male,3,3,Research Director,13245,4,Yes,3,40.0,0,3,4,0,0,0,0
1635,1,45,Travel_Rarely,Research & Development,2,2,Other,Female,2,2,Manufacturing Director,5770,1,No,3,40.0,2,3,3,10,7,3,9
32,1,53,Travel_Rarely,Research & Development,5,3,Other,Female,3,5,Manager,19094,4,No,3,40.0,1,3,2,14,13,4,8
1338,1,56,Travel_Rarely,Human Resources,8,4,Life Sciences,Male,3,5,Manager,19717,6,No,3,40.0,0,4,3,7,3,7,7
1140,1,34,Travel_Frequently,Research & Development,2,2,Life Sciences,Male,3,2,Manufacturing Director,4033,2,No,3,40.0,0,3,2,3,2,0,2
1438,1,47,Travel_Rarely,Research & Development,1,3,Technical Degree,Male,3,1,Research Scientist,3420,7,No,3,40.0,1,2,2,6,5,1,2
340,1,37,Travel_Rarely,Research & Development,1,2,Medical,Female,2,1,Research Scientist,3920,2,No,3,40.0,1,2,2,3,1,0,2
1494,0,24,Travel_Frequently,Research & Development,9,3,Medical,Male,3,1,Laboratory Technician,3172,2,Yes,3,40.0,0,2,2,0,0,0,0
992,1,33,Non-Travel,Sales,17,3,Life Sciences,Male,3,4,Manager,17444,1,No,3,40.0,0,2,3,10,8,6,0
834,1,45,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,2,1,Research Scientist,2274,1,No,3,40.0,0,3,3,1,0,0,0
780,0,33,Travel_Rarely,Research & Development,1,4,Other,Male,3,1,Research Scientist,2686,1,Yes,3,40.0,0,2,2,10,9,7,8
353,1,51,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,1,Research Scientist,2723,1,No,3,40.0,0,0,2,1,0,0,0
319,1,42,Travel_Rarely,Research & Development,4,2,Technical Degree,Male,3,5,Manager,19232,1,No,3,40.0,0,3,3,22,17,11,15
385,1,50,Travel_Rarely,Research & Development,4,1,Life Sciences,Male,3,5,Research Director,19144,3,No,3,40.0,2,4,2,10,4,1,6
86,1,45,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,3,3,Research Scientist,9724,2,No,3,40.0,1,2,3,1,0,0,0
582,0,33,Travel_Rarely,Research & Development,15,1,Medical,Male,3,3,Manager,13610,7,Yes,3,40.0,0,2,4,7,6,7,7
1263,1,48,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,5,Research Director,18265,6,No,3,40.0,0,3,4,1,0,0,0
1503,1,47,Travel_Rarely,Sales,14,3,Medical,Female,3,2,Sales Executive,4591,3,Yes,3,40.0,1,4,2,5,4,1,2
351,1,42,Travel_Rarely,Research & Development,2,3,Medical,Female,2,1,Laboratory Technician,2593,0,Yes,3,40.0,1,4,3,9,6,7,8
558,1,40,Travel_Rarely,Sales,2,4,Life Sciences,Female,3,5,Manager,18041,0,No,3,40.0,0,2,3,20,15,1,12
698,1,54,Travel_Rarely,Human Resources,19,4,Medical,Male,3,3,Human Resources,10725,2,No,3,40.0,1,1,4,9,7,7,1
1653,1,25,Travel_Frequently,Research & Development,2,1,Life Sciences,Male,4,2,Manufacturing Director,5206,1,No,3,40.0,2,6,3,7,7,0,7
14,1,35,Travel_Rarely,Research & Development,16,3,Medical,Male,4,1,Laboratory Technician,2426,0,No,3,40.0,1,5,3,5,4,0,3
823,1,36,Travel_Rarely,Research & Development,1,3,Other,Female,3,2,Manufacturing Director,5228,0,No,3,40.0,1,2,3,9,7,0,5
686,1,26,Travel_Rarely,Research & Development,6,3,Life Sciences,Female,3,1,Laboratory Technician,2659,1,Yes,3,40.0,1,2,3,3,2,0,2
1350,1,35,Travel_Frequently,Research & Development,4,4,Life Sciences,Male,3,2,Research Scientist,4249,1,Yes,3,40.0,0,3,3,9,6,1,1
1533,1,23,Travel_Rarely,Research & Development,20,1,Life Sciences,Male,3,2,Laboratory Technician,2272,0,No,3,40.0,0,2,3,4,3,1,2
254,1,55,Travel_Rarely,Research & Development,14,4,Medical,Male,4,5,Research Director,18722,8,No,3,40.0,0,3,3,24,15,2,15
1397,1,39,Non-Travel,Research & Development,25,2,Life Sciences,Male,3,3,Healthcare Representative,10920,3,No,4,40.0,1,2,3,6,4,0,5
657,1,20,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,1,Research Scientist,2836,1,No,3,40.0,0,0,4,1,0,0,0
140,1,59,Non-Travel,Human Resources,2,4,Human Resources,Female,2,5,Manager,18844,9,No,4,40.0,1,3,3,3,2,2,2
1761,0,31,Travel_Rarely,Sales,16,4,Marketing,Male,3,3,Sales Executive,8161,2,No,3,40.0,3,2,3,1,0,0,0
1839,1,18,Non-Travel,Research & Development,14,3,Medical,Female,3,1,Research Scientist,1514,1,No,3,40.0,0,4,1,0,0,0,0
1764,1,32,Non-Travel,Research & Development,5,4,Technical Degree,Male,3,1,Research Scientist,2718,2,No,3,40.0,0,3,3,7,7,0,7
18,1,34,Travel_Rarely,Research & Development,19,2,Medical,Male,3,1,Laboratory Technician,2661,0,No,3,40.0,1,2,3,2,2,1,2
662,1,38,Travel_Rarely,Research & Development,1,1,Life Sciences,Female,3,1,Research Scientist,2619,3,No,3,40.0,0,3,2,0,0,0,0
162,1,51,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,3,5,Research Director,19537,7,No,3,40.0,0,5,3,20,18,15,15
1885,1,37,Travel_Rarely,Research & Development,7,4,Medical,Male,3,2,Research Scientist,4284,5,Yes,4,40.0,1,2,3,5,3,0,4
1719,1,45,Travel_Rarely,Research & Development,28,2,Technical Degree,Female,2,4,Research Director,16704,1,No,3,40.0,0,2,3,21,6,8,6
800,1,27,Travel_Frequently,Sales,8,1,Marketing,Male,3,2,Sales Executive,4342,0,No,3,40.0,1,3,3,4,2,1,1
1311,1,30,Travel_Rarely,Research & Development,6,3,Technical Degree,Female,2,2,Laboratory Technician,4627,0,No,3,40.0,1,6,3,9,2,6,7
1549,1,33,Travel_Rarely,Research & Development,28,4,Life Sciences,Male,3,2,Laboratory Technician,5207,1,Yes,3,40.0,1,3,3,15,14,5,7
128,1,24,Travel_Rarely,Sales,3,2,Other,Female,3,2,Sales Executive,4999,0,No,4,40.0,1,2,2,3,2,0,2
1218,1,35,Travel_Rarely,Sales,17,4,Life Sciences,Male,3,2,Sales Executive,8966,3,Yes,3,40.0,3,2,3,7,7,1,7
2068,1,34,Travel_Rarely,Research & Development,8,3,Medical,Male,4,2,Laboratory Technician,4404,2,No,3,40.0,0,3,4,4,3,1,2
1156,0,18,Non-Travel,Research & Development,8,1,Medical,Male,3,1,Laboratory Technician,1904,1,No,3,40.0,0,0,3,0,0,0,0
1307,1,39,Travel_Rarely,Research & Development,13,4,Medical,Female,2,4,Manager,17123,6,Yes,3,40.0,2,4,3,19,9,15,2
1631,1,37,Travel_Rarely,Research & Development,19,3,Life Sciences,Male,3,2,Manufacturing Director,5768,3,No,3,40.0,3,2,2,4,3,0,2
984,1,35,Travel_Rarely,Sales,3,4,Life Sciences,Male,3,3,Sales Executive,7823,6,No,3,40.0,1,2,3,10,9,0,8
1869,0,46,Travel_Rarely,Sales,10,3,Life Sciences,Female,3,3,Sales Executive,7314,5,No,4,40.0,3,2,3,8,7,0,7
1835,1,38,Travel_Rarely,Sales,2,4,Marketing,Female,1,2,Sales Representative,5405,2,Yes,4,40.0,2,4,2,4,2,0,3
887,1,49,Travel_Rarely,Research & Development,1,3,Technical Degree,Female,3,1,Research Scientist,3580,2,No,3,40.0,1,2,3,4,2,0,2
390,1,26,Travel_Frequently,Research & Development,11,2,Medical,Male,3,2,Healthcare Representative,4741,1,Yes,3,40.0,1,3,3,5,3,3,3
1394,1,37,Travel_Rarely,Research & Development,4,1,Life Sciences,Male,3,1,Research Scientist,2996,7,Yes,3,40.0,0,2,3,6,4,1,3
959,0,19,Travel_Rarely,Sales,21,3,Other,Male,2,1,Sales Representative,2121,1,Yes,3,40.0,0,3,4,1,0,0,0
483,1,40,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,1,Laboratory Technician,2213,3,Yes,3,40.0,1,3,3,7,7,1,7
1495,1,24,Non-Travel,Sales,13,2,Life Sciences,Female,3,1,Sales Representative,2033,1,No,3,40.0,1,2,3,1,0,0,0
197,1,30,Travel_Rarely,Research & Development,5,3,Technical Degree,Female,3,1,Research Scientist,3204,5,No,3,40.0,1,3,3,3,2,2,2
1472,1,53,Travel_Rarely,Research & Development,2,3,Medical,Male,4,4,Research Director,16598,4,No,3,40.0,0,2,2,9,8,8,8
381,1,35,Travel_Rarely,Research & Development,22,3,Life Sciences,Female,4,3,Manager,11996,7,No,3,40.0,1,6,2,7,7,6,2
1938,1,58,Travel_Rarely,Sales,21,3,Life Sciences,Female,3,4,Manager,17875,4,Yes,3,40.0,1,2,2,1,0,0,0
1191,1,56,Travel_Rarely,Research & Development,4,4,Technical Degree,Female,3,5,Manager,19943,4,No,3,40.0,1,2,3,5,2,4,2
1499,1,30,Travel_Rarely,Human Resources,1,3,Life Sciences,Male,3,1,Human Resources,2064,0,No,4,40.0,1,3,4,5,3,1,3
495,1,29,Travel_Rarely,Research & Development,23,3,Life Sciences,Male,3,1,Research Scientist,2201,9,No,3,40.0,0,4,3,3,2,1,2
1469,1,28,Travel_Rarely,Sales,5,3,Medical,Male,3,2,Sales Executive,8463,0,No,3,40.0,0,4,3,5,4,1,3
170,1,49,Travel_Rarely,Research & Development,20,4,Medical,Female,3,2,Manufacturing Director,6567,1,No,3,40.0,0,2,2,15,11,5,11
677,1,33,Travel_Rarely,Sales,8,4,Marketing,Male,3,2,Sales Executive,7104,0,No,3,40.0,0,3,3,5,0,1,2
1234,1,32,Travel_Frequently,Research & Development,13,3,Other,Female,2,1,Laboratory Technician,2743,1,No,4,40.0,1,2,3,2,2,2,2
1951,1,34,Travel_Rarely,Sales,13,4,Medical,Male,3,3,Sales Executive,8628,1,No,3,40.0,1,2,2,8,7,1,1
1647,1,27,Travel_Rarely,Research & Development,8,3,Medical,Female,4,1,Research Scientist,3517,7,No,3,40.0,0,0,3,3,2,0,2
1931,1,27,Travel_Rarely,Research & Development,2,4,Technical Degree,Male,3,1,Research Scientist,2226,1,No,3,40.0,1,3,2,5,3,1,2
352,1,40,Travel_Rarely,Research & Development,2,2,Medical,Male,3,5,Research Director,19436,0,No,3,40.0,1,5,3,21,7,3,9
859,1,32,Travel_Rarely,Sales,13,4,Life Sciences,Male,3,2,Sales Executive,4403,2,No,3,40.0,1,3,2,5,2,0,3
469,1,29,Non-Travel,Sales,2,3,Life Sciences,Male,3,2,Sales Executive,4649,1,No,3,40.0,1,3,2,4,3,0,2
247,1,34,Travel_Rarely,Research & Development,27,2,Medical,Female,3,1,Research Scientist,2311,2,No,3,40.0,0,3,3,3,2,1,2
2057,1,31,Non-Travel,Research & Development,5,3,Medical,Male,3,2,Manufacturing Director,9936,0,No,3,40.0,0,2,3,9,4,1,7
75,1,35,Travel_Rarely,Research & Development,23,4,Medical,Female,3,1,Laboratory Technician,4014,3,Yes,3,40.0,1,3,3,2,2,2,2
40,1,44,Travel_Rarely,Research & Development,10,4,Other,Male,3,2,Healthcare Representative,6465,2,Yes,3,40.0,0,5,4,4,2,1,3
461,1,38,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,2,3,Research Director,11510,0,Yes,3,40.0,1,3,3,11,10,2,9
1440,1,37,Non-Travel,Research & Development,5,2,Technical Degree,Male,4,1,Laboratory Technician,3500,0,No,3,40.0,0,2,1,6,5,1,3
1564,1,35,Travel_Rarely,Research & Development,1,3,Medical,Male,2,1,Laboratory Technician,2450,1,No,3,40.0,0,3,3,3,0,1,2
1132,1,39,Non-Travel,Research & Development,9,3,Life Sciences,Male,3,2,Laboratory Technician,6782,9,No,3,40.0,0,2,2,5,4,0,3
1164,1,35,Travel_Rarely,Human Resources,8,4,Technical Degree,Male,3,1,Human Resources,4323,1,No,3,40.0,0,2,1,5,4,1,4
1310,0,39,Travel_Rarely,Research & Development,23,3,Medical,Male,3,1,Research Scientist,3904,0,No,3,40.0,0,2,3,5,2,0,3
1985,1,40,Travel_Frequently,Research & Development,11,3,Technical Degree,Female,3,2,Laboratory Technician,6323,1,No,3,40.0,1,2,4,10,9,9,4
332,1,39,Travel_Rarely,Research & Development,1,4,Medical,Female,3,1,Laboratory Technician,2232,7,No,3,40.0,3,1,3,3,2,1,2
1625,1,47,Travel_Rarely,Human Resources,26,4,Life Sciences,Female,3,5,Manager,19658,3,No,3,40.0,1,2,3,5,2,1,0
584,0,33,Travel_Rarely,Research & Development,10,1,Medical,Male,1,1,Laboratory Technician,3408,7,No,3,40.0,3,2,3,4,3,1,3
148,1,54,Non-Travel,Human Resources,26,3,Human Resources,Female,4,4,Manager,17328,2,Yes,3,40.0,0,3,3,5,3,4,4
1258,1,48,Travel_Rarely,Research & Development,2,2,Technical Degree,Male,4,1,Laboratory Technician,2559,5,No,3,40.0,0,4,2,1,0,0,0
547,1,42,Travel_Frequently,Research & Development,29,2,Life Sciences,Female,3,2,Research Scientist,4556,2,No,3,40.0,1,3,3,5,4,0,2
430,1,43,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,3,1,Laboratory Technician,2455,0,No,3,40.0,0,5,3,8,7,1,7
600,1,35,Travel_Rarely,Sales,1,3,Marketing,Male,3,2,Sales Executive,4717,9,No,3,40.0,0,2,3,11,9,6,9
373,1,36,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,3,1,Laboratory Technician,3210,0,No,3,40.0,1,4,3,15,13,10,11
624,1,46,Travel_Frequently,Research & Development,18,1,Medical,Female,3,3,Healthcare Representative,10527,5,No,3,40.0,0,3,2,2,2,1,2
591,1,42,Travel_Frequently,Research & Development,5,2,Other,Male,3,1,Laboratory Technician,2093,4,No,3,40.0,1,4,3,2,2,2,0
124,1,46,Travel_Frequently,Research & Development,1,3,Medical,Male,2,3,Healthcare Representative,10673,2,Yes,3,40.0,1,5,2,10,9,9,5
1954,1,29,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,2,Healthcare Representative,5373,0,No,3,40.0,1,5,2,5,3,0,2
335,1,40,Travel_Rarely,Research & Development,24,2,Technical Degree,Male,3,2,Research Scientist,3319,1,No,3,40.0,2,3,3,9,8,4,7
1924,1,33,Travel_Rarely,Sales,10,4,Marketing,Male,3,2,Sales Executive,5487,1,No,3,40.0,0,2,2,10,4,0,9
258,1,51,Travel_Rarely,Research & Development,3,3,Medical,Female,3,4,Healthcare Representative,13734,3,No,3,40.0,0,6,3,7,7,1,0
621,1,34,Travel_Rarely,Sales,21,4,Life Sciences,Male,4,2,Sales Executive,5337,1,No,3,40.0,0,3,3,10,7,5,7
972,1,45,Non-Travel,Research & Development,4,2,Life Sciences,Male,3,2,Laboratory Technician,4447,1,No,3,40.0,0,5,2,9,7,0,8
669,1,21,Travel_Rarely,Sales,22,1,Technical Degree,Male,3,1,Sales Representative,3447,1,No,3,40.0,0,2,3,3,2,1,2
192,1,45,Travel_Rarely,Research & Development,29,3,Medical,Male,3,1,Research Scientist,3452,5,No,3,40.0,0,2,2,6,5,0,3
1356,1,34,Travel_Rarely,Sales,15,2,Medical,Female,3,2,Sales Executive,6125,1,No,3,40.0,0,6,4,10,8,9,6
491,1,50,Travel_Rarely,Research & Development,10,3,Technical Degree,Male,2,3,Healthcare Representative,10496,6,No,3,40.0,0,2,3,4,3,1,3
1939,0,32,Travel_Frequently,Research & Development,5,2,Life Sciences,Female,4,1,Research Scientist,2432,3,Yes,3,40.0,0,2,3,4,1,0,3
235,0,19,Travel_Frequently,Sales,1,1,Technical Degree,Female,1,1,Sales Representative,2325,0,No,4,40.0,0,5,4,0,0,0,0
1821,0,46,Travel_Rarely,Research & Development,21,2,Medical,Female,3,2,Healthcare Representative,8926,4,No,4,40.0,1,2,4,9,7,3,7
612,1,33,Travel_Rarely,Research & Development,1,5,Medical,Female,4,4,Research Director,16184,4,No,3,40.0,1,2,3,6,1,0,5
526,1,43,Travel_Rarely,Research & Development,8,4,Other,Female,3,2,Healthcare Representative,4522,4,Yes,3,40.0,0,3,3,5,2,0,2
517,1,42,Travel_Rarely,Research & Development,1,4,Life Sciences,Female,3,1,Laboratory Technician,2576,3,No,3,40.0,1,5,3,5,2,1,2
100,1,35,Travel_Rarely,Sales,1,4,Marketing,Male,2,2,Sales Executive,4312,0,No,3,40.0,0,2,3,15,13,2,8
482,1,57,Travel_Rarely,Research & Development,1,4,Medical,Male,3,2,Healthcare Representative,6755,2,No,3,40.0,0,2,3,3,2,1,2
1888,1,45,Travel_Rarely,Research & Development,25,2,Life Sciences,Female,2,2,Manufacturing Director,5906,0,No,3,40.0,2,2,2,9,8,3,8
527,1,25,Travel_Rarely,Sales,4,2,Life Sciences,Female,2,2,Sales Executive,4487,1,Yes,3,40.0,0,3,3,5,4,1,3
1809,0,37,Travel_Rarely,Research & Development,10,4,Medical,Male,3,2,Manufacturing Director,4213,1,No,3,40.0,0,4,1,10,3,0,8
808,1,34,Travel_Rarely,Sales,8,2,Life Sciences,Female,3,2,Sales Executive,6500,5,No,3,40.0,1,1,3,3,2,1,2
1805,1,38,Non-Travel,Human Resources,2,3,Human Resources,Male,3,1,Human Resources,2592,5,No,3,40.0,3,3,3,11,10,3,8
1203,0,22,Travel_Frequently,Research & Development,3,4,Life Sciences,Male,2,1,Research Scientist,2853,0,Yes,3,40.0,1,5,3,0,0,0,0
2,1,49,Travel_Frequently,Research & Development,8,1,Life Sciences,Male,2,2,Research Scientist,5130,1,No,4,40.0,1,3,3,10,7,1,7
1192,1,29,Travel_Rarely,Research & Development,6,1,Medical,Female,3,1,Laboratory Technician,3131,1,No,3,40.0,1,5,3,10,8,0,8
1481,1,44,Travel_Frequently,Sales,1,5,Marketing,Female,3,2,Sales Executive,4768,7,No,3,40.0,1,4,2,1,0,0,0
942,1,35,Travel_Rarely,Research & Development,21,1,Life Sciences,Female,3,2,Healthcare Representative,4014,1,Yes,4,40.0,1,2,1,10,6,0,7
875,1,42,Travel_Frequently,Research & Development,2,1,Medical,Male,3,1,Research Scientist,2515,5,Yes,3,40.0,0,2,3,2,1,2,2
653,1,31,Travel_Rarely,Sales,6,4,Medical,Male,4,2,Sales Executive,5460,4,No,4,40.0,2,4,4,7,7,5,7
620,1,35,Travel_Rarely,Sales,1,3,Medical,Female,3,2,Sales Executive,4859,1,No,3,40.0,0,3,3,5,4,0,3
1002,1,45,Non-Travel,Research & Development,23,2,Life Sciences,Male,3,2,Laboratory Technician,3633,1,Yes,3,40.0,1,2,3,9,8,0,8
411,1,18,Travel_Rarely,Sales,10,3,Medical,Female,2,1,Sales Representative,1200,1,No,3,40.0,0,2,3,0,0,0,0
1560,1,33,Travel_Rarely,Sales,8,4,Life Sciences,Male,3,2,Sales Executive,6392,2,No,3,40.0,1,6,1,2,2,2,2
8,1,32,Travel_Frequently,Research & Development,2,2,Life Sciences,Male,3,1,Laboratory Technician,3068,0,No,3,40.0,0,2,2,7,7,3,6
546,1,52,Travel_Rarely,Research & Development,4,2,Life Sciences,Female,3,4,Manager,16555,2,No,3,40.0,0,2,1,5,2,1,4
117,1,30,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,2,Healthcare Representative,4152,1,No,3,40.0,3,3,3,11,10,10,8
663,1,43,Travel_Frequently,Research & Development,9,5,Medical,Male,3,2,Laboratory Technician,5679,3,Yes,3,40.0,1,3,3,8,7,4,7
1669,1,29,Travel_Rarely,Sales,5,3,Medical,Male,2,2,Sales Executive,4187,1,Yes,3,40.0,1,3,2,10,0,0,9
1553,1,45,Travel_Rarely,Research & Development,1,4,Technical Degree,Male,3,3,Healthcare Representative,7441,1,No,3,40.0,3,4,3,10,8,7,7
1945,1,35,Travel_Rarely,Sales,18,4,Medical,Male,3,2,Sales Executive,5561,0,No,3,40.0,1,2,1,5,3,0,4
700,1,27,Travel_Rarely,Research & Development,3,4,Medical,Male,2,1,Research Scientist,2045,0,No,3,40.0,0,0,3,4,2,1,1
1655,1,49,Travel_Rarely,Research & Development,22,4,Other,Female,3,4,Research Director,16413,3,No,3,40.0,2,2,3,4,2,1,2
645,1,25,Travel_Rarely,Sales,13,1,Medical,Male,3,1,Sales Representative,2096,1,No,3,40.0,0,1,3,7,4,0,6
1241,1,30,Travel_Rarely,Research & Development,1,3,Medical,Male,3,1,Research Scientist,3579,0,Yes,4,40.0,1,2,3,11,9,5,7
566,0,19,Travel_Rarely,Human Resources,2,2,Technical Degree,Male,2,1,Human Resources,2564,1,No,3,40.0,0,3,4,1,0,0,0
1907,0,56,Travel_Rarely,Research & Development,24,2,Life Sciences,Male,3,1,Laboratory Technician,2587,1,No,3,40.0,0,3,3,4,2,1,0
1154,1,28,Travel_Frequently,Research & Development,6,3,Life Sciences,Male,2,1,Research Scientist,2703,1,Yes,3,40.0,1,2,3,3,1,0,2
1801,1,46,Non-Travel,Sales,26,2,Life Sciences,Male,2,2,Sales Executive,7991,8,No,3,40.0,0,3,3,2,2,2,2
1362,1,36,Travel_Frequently,Sales,7,3,Marketing,Female,4,2,Sales Executive,4639,2,No,3,40.0,1,2,2,15,7,6,13
797,1,34,Travel_Rarely,Research & Development,1,4,Life Sciences,Female,4,1,Research Scientist,3280,2,No,3,40.0,0,2,3,4,2,1,3
202,1,40,Travel_Frequently,Research & Development,26,3,Medical,Female,3,2,Research Scientist,5605,1,No,3,40.0,1,2,3,20,7,2,13
338,1,33,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,2,1,Research Scientist,2911,1,No,3,40.0,1,2,2,2,2,0,2
1827,1,47,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,3,Manufacturing Director,10333,8,Yes,3,40.0,1,4,3,22,11,14,10
1609,1,30,Travel_Rarely,Research & Development,7,3,Medical,Male,2,1,Research Scientist,2141,1,No,3,40.0,1,3,2,6,4,1,1
1871,1,39,Travel_Rarely,Research & Development,19,4,Other,Male,3,2,Research Scientist,3902,8,No,3,40.0,3,2,3,2,2,2,2
1968,0,53,Travel_Rarely,Sales,24,4,Life Sciences,Male,3,3,Sales Executive,10448,6,Yes,3,40.0,0,2,2,2,2,2,2
1965,1,27,Travel_Rarely,Sales,9,3,Marketing,Male,3,2,Sales Executive,4105,1,No,3,40.0,0,5,3,7,7,0,7
1301,1,28,Travel_Rarely,Research & Development,1,3,Technical Degree,Male,3,1,Research Scientist,2080,2,No,3,40.0,0,2,2,3,2,1,2
331,0,32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,1,Laboratory Technician,3730,0,Yes,3,40.0,0,2,1,3,2,1,2
1555,1,32,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,2,2,Research Scientist,5878,3,No,3,40.0,1,2,3,7,1,2,5
571,1,30,Non-Travel,Research & Development,2,3,Medical,Female,3,1,Laboratory Technician,2564,0,No,3,40.0,0,2,2,11,7,6,7
1124,1,46,Travel_Rarely,Sales,3,1,Marketing,Male,3,4,Manager,17465,3,No,3,40.0,1,3,3,12,9,4,9
639,1,24,Travel_Rarely,Research & Development,23,3,Medical,Male,4,1,Research Scientist,2725,1,Yes,3,40.0,2,3,3,6,5,1,4
259,1,52,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,2,5,Manager,19999,0,No,3,40.0,1,5,3,33,18,11,9
1506,1,28,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,1,Research Scientist,1563,1,No,3,40.0,1,2,1,1,0,0,0
2053,1,29,Travel_Rarely,Research & Development,13,2,Other,Male,2,2,Laboratory Technician,4025,4,Yes,3,40.0,1,2,3,4,3,0,3
193,1,38,Travel_Rarely,Research & Development,3,5,Technical Degree,Female,3,2,Research Scientist,4317,3,Yes,4,40.0,0,2,3,3,2,2,2
1640,1,37,Travel_Rarely,Research & Development,10,3,Medical,Female,3,1,Research Scientist,3936,1,No,3,40.0,1,2,1,8,4,7,7
1708,1,41,Travel_Rarely,Sales,6,3,Marketing,Male,3,3,Sales Executive,9241,1,No,3,40.0,0,3,3,10,8,8,7
1797,0,35,Travel_Rarely,Sales,27,3,Life Sciences,Male,3,2,Sales Executive,5813,1,Yes,3,40.0,0,2,3,10,7,7,7
1,0,41,Travel_Rarely,Sales,1,2,Life Sciences,Female,3,2,Sales Executive,5993,8,Yes,3,40.0,0,0,1,6,4,0,5
462,1,31,Travel_Rarely,Research & Development,7,4,Medical,Female,3,3,Manufacturing Director,7143,1,Yes,3,40.0,0,2,2,11,9,4,10
1489,0,34,Travel_Rarely,Sales,24,4,Medical,Female,2,2,Sales Executive,4599,0,Yes,4,40.0,0,2,4,15,9,10,10
386,1,53,Travel_Rarely,Research & Development,3,4,Medical,Male,3,4,Research Director,17584,3,Yes,3,40.0,3,5,2,5,3,1,3
1029,1,42,Travel_Rarely,Sales,5,2,Marketing,Male,3,5,Manager,18303,6,No,3,40.0,0,3,4,1,0,0,0
